Group Name~`,Group Type~`,Category~`,Mission~`,Keywords~`,Link~`
14 East magazine~`,General Student Organization~`,Media & Publications~`,"14 East is a collaborative of DePaul students cultivating an interest in a wide array of subjects from politics to literature to culture. From this magazine, readers can find unique perspectives on issues pertinent to young adults in Chicago. We aim to humanize the issues that are attracting attention in the social atmosphere.~`","Magazine, Journalism~`",https://dehub.depaul.edu/14E/club_signup~`
Accessible Futures DePaul~`,General Student Organization~`,"Community Service & Engagement, Cultural~`","This organization seeks to create a safer and more inclusive environment for Disabled students at DePaul University. We will achieve this with programming, advocacy work, and through the community we create together. We seek to serve Disabled students by creating a community that prioritizes the lived experience of Disabled students and by advocating for widespread accessibility and social change.~`","Disability, Accessibility~`",https://dehub.depaul.edu/AccessibleFutures/club_signup~`
Advocacy of Newly-Acquired Knowledge of the Lower Extremities~`,General Student Organization~`,Academic & Pre-Professional~`,"This club will also work to improve students with the knowledge, skills, attitudes, and commitment necessary to enter medicine as a doctor of podiatry, to one day care for the healthcare needs of their patients. We seek to facilitate student involvement, student engagement, and leadership development to increase DePaul affinity through responsible leadership and the Vincentian values.~`","Medical, Podiatry ~`",https://dehub.depaul.edu/ANKLE/club_signup~`
African Student Association~`,General Student Organization~`,Cultural ~`,"The African Student Association centers and builds the African community at DePaul through cultural events, community service initiatives and collaborating with like minded student and community organizations. We aim to create a safe space for students of the African diaspora and provide enriching activities and resources.~`",African~`,https://dehub.depaul.edu/ASADPU/club_signup~`
ALAS Undocu Student Coalition~`,General Student Organization~`,Cultural~`,"ALAS is committed to fostering a supportive and inclusive environment for undocumented students. Drawing inspiration from the values of solidarity and empowerment, we aim to provide a space for undocumented students to organize, share their experiences, and access resources essential for their academic success. Through our advocacy efforts, we seek to raise awareness on campus about the challenges faced by undocumented students and the importance of creating equitable educational opportunities for all regardless of immigration status. By amplifying the voices and visibility of undocumented students, we strive to break down social barriers and contribute to building a more just and inclusive community at DePaul and beyond.~`","Undocumented, Immigration~`",https://dehub.depaul.edu/ALAS/club_signup~`
Albanian American Cultural Alliance~`,General Student Organization~`,"Community Service & Engagement, Cultural~`","The AACA seeks to educate DePaul and surrounding communities at large of the history, politics, language, and culture of Albania.~`",Albania~`,https://dehub.depaul.edu/AACA/club_signup~`
ALPFA (Association of Latino Professionals For America)~`,General Student Organization~`,"Academic & Pre-Professional, Cultural~`","Our mission is to empower and develop Latino men and women as leaders of character for the nation, in every sector of the global economy. We work diligently to promote diversity and inclusion on campus and in the workplace. We seek to be the bridge between students and professionally, while preemptively educating students on common misconceptions about entering the workforce.~`","Latino, Professional~`",https://dehub.depaul.edu/ALPFA/club_signup~`
Alpha Epsilon Pi~`,Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","The mission of Alpha Epsilon Pi is to provide education, resources and training to the future leaders of the world. This mission is demonstrated every day through acts of brotherhood, Tzedakah (charity), social awareness and support for Jewish communities and Israel.~`","Jewish, AEPi~`",https://dehub.depaul.edu/AEPi/club_signup~`
"Alpha Kappa Psi, Tau Chi Chapter~`",Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"Recognized as the premier developer of principled business leaders, Alpha Kappa Psi continuously strives to build a strong bond of brotherhood and foster lifelong learning amongst its members.~`","Business, AKPsi~`",https://dehub.depaul.edu/AKPsi/club_signup~`
Alpha Omicron Pi~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,"Our mission as the Delta Rho chapter of AOII is to encourage a spirit of fraternity and love among our members; to stand at all times for character, dignity, scholarship, and college loyalty; and to strive for and support the best interests of DePaul University.~`",AlphaOII~`,https://depaul.alphaomicronpi.org/~`
Alpha Phi~`,Fraternity & Sorority Life~`,Fraternity & Sorority Life~`,Alpha Phi is a sisterhood of women supporting one another in lifelong achievement.~`,APHI~`,https://dehub.depaul.edu/APHI/club_signup~`
"Alpha Phi Alpha Fraternity, Inc. | Nu Rho Chapter~`",Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","Alpha Phi Alpha Fraternity, Inc. develops leaders, promotes brotherhood and academic excellence, while providing service and advocacy for our communities.~`",APhiA~`,https://dehub.depaul.edu/APhiA/club_signup~`
Alpha Phi Gamma~`,Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","To bring together all women of different nationalities through bonds of friendship and sisterhood. Alpha Phi Gamma exists to provide service and Asian Awareness to the University and the surrounding communities for the betterment of society. It promotes Scholarship and academic excellence, personal development and leadership.~`","APhiG, Asian~`",https://dehub.depaul.edu/APhiG/club_signup~`
Alpha Phi Sigma~`,General Student Organization~`,"Academic & Pre-Professional, Honorary~`","The Mission of Alpha Phi Sigma is to promote analytical thinking, rigorous scholarship and lifelong learning; to keep abreast of the advances in scientific research; to elevate the ethical standards of the criminal justice professions and to sustain in the public mind the benefit and necessity of education and professional training.~`","Criminal justice, research~`",https://dehub.depaul.edu/AlphaPhiSigma/club_signup~`
Alpha Psi Lambda~`,Fraternity & Sorority Life~`,"Fraternity & Sorority Life, Cultural~`","""To promote continued personal and collective growth of our membership, success and unity through education, leadership, cultural awareness and community service.""~`",APSI~`,https://dehub.depaul.edu/APSI/club_signup~`
